name,expireIn
hard cheese,180
,21
nonfat dry milk nfdm,150
processed cheese,21
pudding,2
reconstituted nfdm,3
sour cream,7
whipped cream,30
whipping cream,10
fresh in shell,21
raw yolks white,2
liquid pasteurized eggs egg,10
substitute,3
hard cooked,7
roasts and steak,3
chop,3
ground and stew meat,1
bacon,7
,90
corned beef in pouch,5
ham slices fully cooked,3
ham half fully cooked,3
ham whole fully cooked,7
hotdog,14
,7
sausage,1
smoked breakfast links patty,7
organ meat,1
lunch meat,14
,3
vacuumpacked dinners with,14
cooked meats casseroles soups,3
gravy and meat broth,1
chicken or turkey whole,1
chicken or turkey piece,1
ground poultry and giblet,1
duck goose game bird,1
fried or boiled chicken,3
cooked poultry casserole,3
cooked poultry with broth or gravy,1
nuggets or patty,1
lean fish – cod flounder haddock halibut pollack ocean perch rock fish sea trout sole,1
fatty fish – bluefish mackerel mullet salmon smelt swordfish tuna,1
cooked fish,3
smoked fish vacuum packaged,14
surimi,14
shrimp,1
scallop,1
crayfish,1
squid,1
clam,1
mussel,1
oyster,1
lobster,1
crab,1
cooked shellfish,3
apple,30
apricot,3
avocado,5
banana,5
berry,2
cherry,2
cranberry,7
grape,5
guava,1
kiwi,6
lemons limes oranges grapefruit,14
melon,7
nectarine,5
peach,2
pear,5
pineapple,5
plum,5
rhubarb,7
canned,90
frozen juice reconstituted,6
artichoke,2
asparagu,2
beet,14
broccoli,3
brussels sprout,3
cabbage,7
carrot,14
cauliflower,7
celery,7
corn in husk,1
cucumber,7
eggplant,2
green bean,7
green,3
jicama,14
kohlrabi,7
lettuce and salad green,3
lima bean,3
mushroom,1
okra,3
onions green,3
parsley,2
pea,3
pepper,7
radish,14
squash summer,3
tomatillo,7
tomato,7
yuca,1
zucchini,3
bread yeast,5
biscuit,5
muffin,5
quick bread,5
pancakes and waffle,5
rolls yeast,5
refrigerated biscuit,5
angel,1
chiffon and sponge,1
cheesecake,3
fruitcake,180
pound,3
iced layer cake,1
baked cookies,5
danish and doughnut,1
chiffon pie,2
fruit pie,2
mincemeat pie,2
pumpkin pie,2
expressed breast milk,3
formula mixed with water,2
strained fruits and vegetable,2
strained meat and egg,1
strained meat and vegetable,1
homemade baby food,1
fresh pastum,7
mayonnaise,60
nut,180
sandwich,1
tofu,7
coffee and tea,28
peanut butter,180
catsup chili cocktail sauce,180
mustard,180
coconut shredded opened,240
honey jams jellies syrup,180
bottled salad dressing,90
vegetable shortening,180
baking powder and soda,540
barley,730
bread crumb,180
bulgar,150
cereal readytoeat,60
cereal readytocook,180
chocolate baking,180
cornstarch,540
flour bleached,180
flour whole wheat,180
honey and syrup,365
noodles egg,180
noodles plain,365
olive oil,180
pastum,730
rice,730
rice brown or wild,180
sugar brown,120
sugar granulated,730
sugar powdered,540
pastum,730
wheat germ,240
